type,title,season,episode,duration,genre,date
series,Suits,Season 7,Hard Truths,42,Drama,3/28/22
series,Suits,Season 7,Donna,42,Drama,3/27/22
series,Suits,Season 7,Shame,42,Drama,3/26/22
series,Suits,Season 7,100,42,Drama,3/26/22
series,Suits,Season 7,Full Disclosure,42,Drama,3/26/22
series,Suits,Season 7,Home to Roost,42,Drama,3/24/22
series,Suits,Season 7,Brooklyn Housing,42,Drama,3/23/22
series,Suits,Season 7,Divide and Conquer,42,Drama,3/23/22
series,Suits,Season 7,Mudmare,42,Drama,3/23/22
series,Suits,Season 7,The Statue,42,Drama,3/22/22
series,Suits,Season 7,Skin in the Game,42,Drama,3/22/22
series,Suits,Season 6,Character and Fitness,42,Drama,3/22/22
series,Suits,Season 6,Quid Pro Quo,42,Drama,3/22/22
series,Suits,Season 6,Admission of Guilt,42,Drama,3/22/22
series,Suits,Season 6,"Teeth, Nose, Teeth",42,Drama,3/21/22
series,Suits,Season 6,The Painting,42,Drama,3/21/22
series,Suits,Season 6,She's Gone,42,Drama,3/21/22
series,Suits,Season 6,P.S.L.,42,Drama,3/21/22
series,Suits,Season 6,The Hand That Feeds You,42,Drama,3/20/22
series,Suits,Season 6,Borrowed Time,42,Drama,3/20/22
series,Suits,Season 6,Shake the Trees,42,Drama,3/20/22
series,Suits,Season 6,Spain,42,Drama,3/19/22
series,Suits,Season 6,Trust,42,Drama,3/19/22
series,Suits,Season 6,Turn,42,Drama,3/18/22
series,Suits,Season 6,Back on the Map,42,Drama,3/18/22
series,Suits,Season 6,Accounts Payable,42,Drama,3/18/22
series,Suits,Season 6,To Trouble,42,Drama,3/17/22
series,Suits,Season 5,25th Hour,42,Drama,3/17/22
series,Suits,Season 5,Tick Tock,42,Drama,3/16/22
series,Suits,Season 5,Self Defense,42,Drama,3/16/22
series,Suits,Season 5,God's Green Earth,42,Drama,3/15/22
series,Suits,Season 5,Live to Fight...,42,Drama,3/15/22
series,Suits,Season 5,Blowback,42,Drama,3/15/22
series,Suits,Season 5,Faith,42,Drama,3/15/22
series,Suits,Season 5,Uninvited Guests,42,Drama,3/14/22
series,Suits,Season 5,Mea Culpa,42,Drama,3/14/22
series,Suits,Season 5,Hitting Home,42,Drama,3/14/22
series,Suits,Season 5,Privilege,42,Drama,3/14/22
series,Suits,Season 5,Toe to Toe,42,Drama,3/13/22
series,Suits,Season 5,No Puedo Hacerlo,42,Drama,3/13/22
series,Suits,Season 5,No Refills,42,Drama,3/12/22
series,Suits,Season 5,Compensation,42,Drama,3/12/22
series,Suits,Season 5,Denial,42,Drama,3/11/22
series,Suits,Season 4,Not Just a Pretty Face,42,Drama,3/11/22
series,Suits,Season 4,Intent,42,Drama,3/11/22
